Identificador;Fecha_reg;Temporada;Año;Mes;Hora;Feriado;Dia laborable;Jornada laboral;Tipo_clima;Temperatura °C;Sensación Termica °C;Humedad;Velocidad de Viento km/h;No registrados;Registrados;Cant_bici_rentadas
3262;20/05/2011;2;0;5;19;0;5;1;1;0.58;0.5455;0.64;0.0896;49;253;302
3263;20/05/2011;2;0;5;20;0;5;1;1;0.58;0.5455;0.64;0.1045;40;180;220
3264;20/05/2011;2;0;5;21;0;5;1;1;0.56;0.5303;0.64;0.1045;40;155;195
3265;20/05/2011;2;0;5;22;0;5;1;1;0.54;0.5152;0.73;0;28;124;152
3266;20/05/2011;2;0;5;23;0;5;1;1;0.52;0.5;0.72;0.1642;15;100;115
3267;21/05/2011;2;0;5;0;0;6;0;1;0.52;0.5;0.77;0.1045;20;78;98
3268;21/05/2011;2;0;5;1;0;6;0;1;0.52;0.5;0.72;0;8;64;72
3269;21/05/2011;2;0;5;2;0;6;0;1;0.52;0.5;0.72;0.1045;5;35;40
3270;21/05/2011;2;0;5;3;0;6;0;1;0.48;0.4697;0.82;0.1045;7;12;19
3271;21/05/2011;2;0;5;4;0;6;0;1;0.46;0.4545;0.88;0.1343;1;6;7
3272;21/05/2011;2;0;5;5;0;6;0;1;0.46;0.4545;0.88;0.1045;1;4;5
3273;21/05/2011;2;0;5;6;0;6;0;1;0.5;0.4848;0.82;0.1343;6;22;28
3274;21/05/2011;2;0;5;7;0;6;0;1;0.54;0.5152;0.73;0.1343;10;33;43
3275;21/05/2011;2;0;5;8;0;6;0;1;0.56;0.5303;0.68;0.2836;29;97;126
3276;21/05/2011;2;0;5;9;0;6;0;1;0.6;0.6061;0.64;0.2239;60;165;225
3277;21/05/2011;2;0;5;10;0;6;0;1;0.62;0.6061;0.61;0.1045;122;201;323
3278;21/05/2011;2;0;5;11;0;6;0;1;0.64;0.6212;0.53;0.1343;173;245;418
3279;21/05/2011;2;0;5;12;0;6;0;1;0.66;0.6212;0.5;0;222;271;493
3280;21/05/2011;2;0;5;13;0;6;0;1;0.7;0.6364;0.45;0;191;271;462
3281;21/05/2011;2;0;5;14;0;6;0;1;0.72;0.6515;0.42;0;187;269;456
3282;21/05/2011;2;0;5;15;0;6;0;1;0.72;0.6515;0.45;0.2537;232;274;506
3283;21/05/2011;2;0;5;16;0;6;0;2;0.72;0.6515;0.39;0.2537;204;267;471
3284;21/05/2011;2;0;5;17;0;6;0;2;0.72;0.6515;0.42;0.1642;191;253;444
3285;21/05/2011;2;0;5;18;0;6;0;2;0.7;0.6364;0.45;0.1642;191;253;444
3286;21/05/2011;2;0;5;19;0;6;0;1;0.68;0.6364;0.47;0.1642;117;184;301
3287;21/05/2011;2;0;5;20;0;6;0;1;0.62;0.6061;0.61;0;84;164;248
3288;21/05/2011;2;0;5;21;0;6;0;1;0.62;0.6061;0.61;0.1045;77;150;227
3289;21/05/2011;2;0;5;22;0;6;0;1;0.6;0.5909;0.69;0.1343;78;126;204
3290;21/05/2011;2;0;5;23;0;6;0;1;0.58;0.5455;0.78;0.0896;42;103;145
3291;22/05/2011;2;0;5;0;0;0;0;1;0.54;0.5152;0.88;0.1642;31;100;131
3292;22/05/2011;2;0;5;1;0;0;0;1;0.52;0.5;0.94;0.1343;17;81;98
3293;22/05/2011;2;0;5;2;0;0;0;1;0.52;0.5;0.94;0.1045;18;50;68
3294;22/05/2011;2;0;5;3;0;0;0;1;0.5;0.4848;1;0.1045;10;23;33
3295;22/05/2011;2;0;5;4;0;0;0;1;0.5;0.4848;1;0;3;9;12
3296;22/05/2011;2;0;5;5;0;0;0;1;0.5;0.4848;1;0.1045;1;5;6
3297;22/05/2011;2;0;5;6;0;0;0;1;0.52;0.5;0.94;0.1045;5;13;18
3298;22/05/2011;2;0;5;7;0;0;0;1;0.54;0.5152;0.88;0.1045;13;27;40
3299;22/05/2011;2;0;5;8;0;0;0;1;0.6;0.5909;0.73;0.0896;29;65;94
3300;22/05/2011;2;0;5;9;0;0;0;1;0.62;0.6061;0.69;0.1045;59;130;189
3301;22/05/2011;2;0;5;10;0;0;0;1;0.64;0.6061;0.65;0.1343;135;170;305
3302;22/05/2011;2;0;5;11;0;0;0;1;0.7;0.6515;0.54;0.194;164;209;373
3303;22/05/2011;2;0;5;12;0;0;0;2;0.72;0.6667;0.51;0.194;146;255;401
3304;22/05/2011;2;0;5;13;0;0;0;2;0.66;0.6212;0.54;0.2239;180;275;455
3305;22/05/2011;2;0;5;14;0;0;0;3;0.62;0.6061;0.69;0.194;125;191;316
3306;22/05/2011;2;0;5;15;0;0;0;2;0.66;0.6212;0.61;0.1642;110;221;331
3307;22/05/2011;2;0;5;16;0;0;0;1;0.68;0.6364;0.61;0.1343;72;201;273
3308;22/05/2011;2;0;5;17;0;0;0;1;0.7;0.6515;0.58;0.2537;93;213;306
3309;22/05/2011;2;0;5;18;0;0;0;1;0.66;0.6212;0.61;0.2239;120;238;358
3310;22/05/2011;2;0;5;19;0;0;0;1;0.66;0.6212;0.61;0.194;107;193;300
3311;22/05/2011;2;0;5;20;0;0;0;1;0.64;0.6061;0.65;0.1642;57;174;231
3312;22/05/2011;2;0;5;21;0;0;0;1;0.62;0.5909;0.73;0.194;27;109;136
3313;22/05/2011;2;0;5;22;0;0;0;1;0.6;0.5606;0.83;0.1343;35;86;121
3314;22/05/2011;2;0;5;23;0;0;0;2;0.58;0.5455;0.83;0.1343;19;46;65
3315;23/05/2011;2;0;5;0;0;1;1;2;0.56;0.5303;0.88;0.1343;23;18;41
3316;23/05/2011;2;0;5;1;0;1;1;1;0.56;0.5303;0.88;0.1045;4;5;9
3317;23/05/2011;2;0;5;2;0;1;1;3;0.56;0.5303;0.88;0.1642;2;3;5
3318;23/05/2011;2;0;5;3;0;1;1;3;0.54;0.5152;0.94;0.1642;0;4;4
3319;23/05/2011;2;0;5;4;0;1;1;2;0.54;0.5152;0.94;0;2;2;4
3320;23/05/2011;2;0;5;5;0;1;1;2;0.54;0.5152;0.94;0;0;11;11
3321;23/05/2011;2;0;5;6;0;1;1;2;0.54;0.5152;1;0;4;92;96
3322;23/05/2011;2;0;5;7;0;1;1;2;0.56;0.5303;0.94;0.1045;13;223;236
3323;23/05/2011;2;0;5;8;0;1;1;1;0.6;0.5455;0.88;0.194;50;359;409
3324;23/05/2011;2;0;5;9;0;1;1;1;0.6;0.5455;0.88;0.2239;36;131;167
3325;23/05/2011;2;0;5;10;0;1;1;1;0.66;0.6212;0.74;0.2985;49;72;121
3326;23/05/2011;2;0;5;11;0;1;1;1;0.68;0.6364;0.69;0.3881;73;107;180
3327;23/05/2011;2;0;5;12;0;1;1;1;0.68;0.6364;0.69;0.3881;65;139;204
3328;23/05/2011;2;0;5;13;0;1;1;2;0.74;0.6818;0.58;0.4179;49;155;204
3329;23/05/2011;2;0;5;14;0;1;1;2;0.72;0.6818;0.62;0.5224;57;130;187
3330;23/05/2011;2;0;5;15;0;1;1;2;0.72;0.6818;0.62;0.4478;57;119;176
3331;23/05/2011;2;0;5;16;0;1;1;2;0.72;0.6818;0.62;0.2985;56;223;279
3332;23/05/2011;2;0;5;17;0;1;1;3;0.72;0.6818;0.7;0.3881;56;373;429
3333;23/05/2011;2;0;5;18;0;1;1;1;0.7;0.6667;0.74;0.2836;68;385;453
3334;23/05/2011;2;0;5;19;0;1;1;1;0.7;0.6667;0.74;0.2239;56;302;358
3335;23/05/2011;2;0;5;20;0;1;1;1;0.64;0.5758;0.83;0.2239;39;271;310
3336;23/05/2011;2;0;5;21;0;1;1;1;0.64;0.5758;0.89;0.2239;33;155;188
3337;23/05/2011;2;0;5;22;0;1;1;1;0.62;0.5455;0.94;0.2239;25;106;131
3338;23/05/2011;2;0;5;23;0;1;1;2;0.62;0.5606;0.88;0.194;19;53;72
3339;24/05/2011;2;0;5;0;0;2;1;2;0.6;0.5152;0.94;0.194;12;23;35
3340;24/05/2011;2;0;5;1;0;2;1;2;0.6;0.5152;0.94;0.1642;6;9;15
3341;24/05/2011;2;0;5;2;0;2;1;2;0.6;0.5152;0.94;0.194;2;8;10
3342;24/05/2011;2;0;5;3;0;2;1;2;0.58;0.5455;0.94;0.1045;0;2;2
3343;24/05/2011;2;0;5;4;0;2;1;1;0.6;0.5455;0.88;0.1045;1;3;4
3344;24/05/2011;2;0;5;5;0;2;1;2;0.58;0.5455;0.94;0.2537;2;22;24
3345;24/05/2011;2;0;5;6;0;2;1;2;0.58;0.5455;0.94;0.194;10;102;112
3346;24/05/2011;2;0;5;7;0;2;1;3;0.64;0.5909;0.78;0.194;26;288;314
3347;24/05/2011;2;0;5;8;0;2;1;3;0.62;0.5758;0.83;0.2239;31;403;434
3348;24/05/2011;2;0;5;9;0;2;1;2;0.64;0.6061;0.73;0.194;27;111;138
3349;24/05/2011;2;0;5;10;0;2;1;1;0.7;0.6515;0.61;0.3284;18;90;108
3350;24/05/2011;2;0;5;11;0;2;1;1;0.74;0.6667;0.51;0.2239;33;142;175
3351;24/05/2011;2;0;5;12;0;2;1;1;0.76;0.6818;0.45;0.3881;41;129;170
3352;24/05/2011;2;0;5;13;0;2;1;1;0.78;0.697;0.46;0.2537;38;152;190
3353;24/05/2011;2;0;5;14;0;2;1;1;0.78;0.697;0.46;0.2836;27;126;153
3354;24/05/2011;2;0;5;15;0;2;1;3;0.74;0.6818;0.55;0.4179;59;129;188
3355;24/05/2011;2;0;5;16;0;2;1;1;0.66;0.6212;0.69;0.194;52;225;277
3356;24/05/2011;2;0;5;17;0;2;1;1;0.7;0.6515;0.61;0.1045;56;492;548
3357;24/05/2011;2;0;5;18;0;2;1;1;0.7;0.6515;0.7;0.194;74;490;564
3358;24/05/2011;2;0;5;19;0;2;1;1;0.66;0.6212;0.74;0.194;45;310;355
3359;24/05/2011;2;0;5;20;0;2;1;1;0.66;0.6212;0.74;0.0896;39;241;280
3360;24/05/2011;2;0;5;21;0;2;1;1;0.64;0.5909;0.78;0.0896;21;168;189
3361;24/05/2011;2;0;5;22;0;2;1;3;0.62;0.5606;0.88;0.2239;26;115;141
3362;24/05/2011;2;0;5;23;0;2;1;3;0.66;0.6212;0.74;0.1642;13;53;66
3363;25/05/2011;2;0;5;0;0;3;1;3;0.6;0.5606;0.83;0.2239;3;32;35
3364;25/05/2011;2;0;5;1;0;3;1;3;0.58;0.5455;0.83;0.194;6;2;8
3365;25/05/2011;2;0;5;2;0;3;1;2;0.56;0.5303;0.94;0;0;8;8
3366;25/05/2011;2;0;5;3;0;3;1;1;0.54;0.5152;1;0.1343;0;9;9
3367;25/05/2011;2;0;5;4;0;3;1;1;0.54;0.5152;1;0.1045;0;3;3
3368;25/05/2011;2;0;5;5;0;3;1;1;0.56;0.5303;0.88;0.0896;2;23;25
3369;25/05/2011;2;0;5;6;0;3;1;1;0.56;0.5303;0.94;0.0896;4;113;117
3370;25/05/2011;2;0;5;7;0;3;1;1;0.62;0.5909;0.73;0.1343;29;284;313
3371;25/05/2011;2;0;5;8;0;3;1;1;0.64;0.6061;0.69;0.2239;36;495;531
3372;25/05/2011;2;0;5;9;0;3;1;1;0.68;0.6364;0.65;0.0896;27;207;234
3373;25/05/2011;2;0;5;10;0;3;1;1;0.7;0.6515;0.61;0.0896;30;105;135
3374;25/05/2011;2;0;5;11;0;3;1;1;0.74;0.6667;0.51;0.0896;36;104;140
3375;25/05/2011;2;0;5;12;0;3;1;1;0.74;0.6818;0.55;0.1343;32;178;210
3376;25/05/2011;2;0;5;13;0;3;1;1;0.74;0.6818;0.55;0.1343;39;163;202
3377;25/05/2011;2;0;5;14;0;3;1;1;0.74;0.6818;0.55;0.1642;47;121;168
3378;25/05/2011;2;0;5;15;0;3;1;1;0.76;0.697;0.52;0.2537;37;145;182
3379;25/05/2011;2;0;5;16;0;3;1;1;0.74;0.6667;0.51;0.2836;61;238;299
3380;25/05/2011;2;0;5;17;0;3;1;1;0.74;0.6667;0.51;0.2239;77;524;601
3381;25/05/2011;2;0;5;18;0;3;1;1;0.72;0.6667;0.58;0.2239;66;451;517
3382;25/05/2011;2;0;5;19;0;3;1;1;0.7;0.6515;0.61;0.1343;73;332;405
3383;25/05/2011;2;0;5;20;0;3;1;1;0.7;0.6515;0.61;0.1642;56;284;340
3384;25/05/2011;2;0;5;21;0;3;1;1;0.66;0.6212;0.69;0.1343;33;203;236
3385;25/05/2011;2;0;5;22;0;3;1;1;0.66;0.6212;0.69;0.2537;34;140;174
3386;25/05/2011;2;0;5;23;0;3;1;1;0.64;0.6061;0.73;0.1343;12;74;86
3387;26/05/2011;2;0;5;0;0;4;1;1;0.64;0.6061;0.73;0.1343;11;34;45
3388;26/05/2011;2;0;5;1;0;4;1;1;0.64;0.6061;0.73;0.1343;3;13;16
3389;26/05/2011;2;0;5;2;0;4;1;1;0.62;0.5758;0.83;0.1045;7;7;14
3390;26/05/2011;2;0;5;3;0;4;1;1;0.6;0.5455;0.88;0.0896;0;4;4
3391;26/05/2011;2;0;5;4;0;4;1;1;0.6;0.5455;0.88;0;0;2;2
3392;26/05/2011;2;0;5;5;0;4;1;2;0.6;0.5455;0.88;0.0896;2;25;27
3393;26/05/2011;2;0;5;6;0;4;1;2;0.6;0.5;1;0.0896;4;94;98
3394;26/05/2011;2;0;5;7;0;4;1;2;0.62;0.5455;0.94;0.2537;16;270;286
3395;26/05/2011;2;0;5;8;0;4;1;2;0.66;0.6061;0.83;0.1642;31;458;489
3396;26/05/2011;2;0;5;9;0;4;1;1;0.72;0.6818;0.7;0.1642;22;194;216
3397;26/05/2011;2;0;5;10;0;4;1;1;0.7;0.6667;0.74;0.2836;49;94;143
3398;26/05/2011;2;0;5;11;0;4;1;1;0.74;0.697;0.66;0.2239;36;124;160
3399;26/05/2011;2;0;5;12;0;4;1;1;0.78;0.7424;0.59;0.3284;53;141;194
3400;26/05/2011;2;0;5;13;0;4;1;1;0.82;0.7727;0.52;0.2836;52;145;197
3401;26/05/2011;2;0;5;14;0;4;1;1;0.82;0.7727;0.52;0.2836;44;145;189
3402;26/05/2011;2;0;5;15;0;4;1;2;0.82;0.7576;0.46;0.2836;40;101;141
3403;26/05/2011;2;0;5;16;0;4;1;2;0.8;0.7424;0.49;0.3582;58;233;291
3404;26/05/2011;2;0;5;17;0;4;1;1;0.8;0.7273;0.46;0.2836;49;445;494
3405;26/05/2011;2;0;5;18;0;4;1;1;0.8;0.7273;0.46;0.3284;74;404;478
3406;26/05/2011;2;0;5;19;0;4;1;1;0.78;0.697;0.46;0.3284;67;311;378
3407;26/05/2011;2;0;5;20;0;4;1;1;0.72;0.6667;0.58;0.1642;55;267;322
3408;26/05/2011;2;0;5;21;0;4;1;1;0.72;0.6818;0.62;0.0896;45;178;223
3409;26/05/2011;2;0;5;22;0;4;1;1;0.7;0.6515;0.65;0.1343;23;157;180
3410;26/05/2011;2;0;5;23;0;4;1;1;0.7;0.6515;0.65;0.194;17;73;90
3411;27/05/2011;2;0;5;0;0;5;1;1;0.68;0.6364;0.69;0.2537;14;55;69
3412;27/05/2011;2;0;5;1;0;5;1;1;0.7;0.6515;0.58;0.2985;14;36;50
3413;27/05/2011;2;0;5;2;0;5;1;1;0.68;0.6364;0.61;0.2239;6;12;18
3414;27/05/2011;2;0;5;3;0;5;1;1;0.66;0.6212;0.65;0.0896;1;11;12
3415;27/05/2011;2;0;5;4;0;5;1;1;0.64;0.6061;0.69;0.1343;2;5;7
3416;27/05/2011;2;0;5;5;0;5;1;1;0.64;0.6061;0.65;0.2836;2;29;31
3417;27/05/2011;2;0;5;6;0;5;1;1;0.64;0.6061;0.69;0.0896;8;73;81
3418;27/05/2011;2;0;5;7;0;5;1;1;0.64;0.6061;0.73;0.1642;20;229;249
3419;27/05/2011;2;0;5;8;0;5;1;1;0.66;0.6212;0.74;0.2836;25;393;418
3420;27/05/2011;2;0;5;9;0;5;1;1;0.7;0.6515;0.65;0.2836;37;190;227
3421;27/05/2011;2;0;5;10;0;5;1;1;0.72;0.6667;0.54;0.3881;42;111;153
3422;27/05/2011;2;0;5;11;0;5;1;2;0.74;0.6818;0.55;0.3284;40;126;166
3423;27/05/2011;2;0;5;12;0;5;1;2;0.76;0.697;0.55;0.2985;53;190;243
3424;27/05/2011;2;0;5;13;0;5;1;1;0.74;0.6818;0.58;0.194;51;158;209
3425;27/05/2011;2;0;5;14;0;5;1;1;0.76;0.697;0.55;0.2537;51;188;239
3426;27/05/2011;2;0;5;15;0;5;1;1;0.78;0.7121;0.49;0.2836;98;258;356
3427;27/05/2011;2;0;5;16;0;5;1;2;0.76;0.697;0.55;0.3881;63;356;419
3428;27/05/2011;2;0;5;17;0;5;1;1;0.74;0.6818;0.58;0.3881;77;414;491
3429;27/05/2011;2;0;5;18;0;5;1;2;0.72;0.6818;0.62;0.2985;89;310;399
3430;27/05/2011;2;0;5;19;0;5;1;3;0.6;0.5758;0.78;0.2537;69;210;279
3431;27/05/2011;2;0;5;20;0;5;1;2;0.62;0.5909;0.73;0.2239;24;120;144
3432;27/05/2011;2;0;5;21;0;5;1;1;0.6;0.5606;0.83;0.1045;37;114;151
3433;27/05/2011;2;0;5;22;0;5;1;1;0.6;0.5758;0.78;0.1343;25;116;141
3434;27/05/2011;2;0;5;23;0;5;1;1;0.58;0.5455;0.88;0.1343;23;104;127
3435;28/05/2011;2;0;5;0;0;6;0;1;0.58;0.5455;0.88;0.1343;15;79;94
3436;28/05/2011;2;0;5;1;0;6;0;1;0.58;0.5455;0.88;0.194;8;47;55
3437;28/05/2011;2;0;5;2;0;6;0;1;0.56;0.5303;0.94;0.194;13;35;48
3438;28/05/2011;2;0;5;3;0;6;0;1;0.56;0.5303;0.88;0.2239;2;13;15
3439;28/05/2011;2;0;5;4;0;6;0;1;0.56;0.5303;0.88;0.2537;0;4;4
3440;28/05/2011;2;0;5;5;0;6;0;1;0.56;0.5303;0.88;0.2239;4;3;7
3441;28/05/2011;2;0;5;6;0;6;0;1;0.58;0.5455;0.83;0.2537;3;16;19
3442;28/05/2011;2;0;5;7;0;6;0;1;0.6;0.5606;0.83;0.2537;17;33;50
3443;28/05/2011;2;0;5;8;0;6;0;1;0.62;0.5909;0.78;0.194;27;75;102
3444;28/05/2011;2;0;5;9;0;6;0;1;0.64;0.6061;0.73;0.2537;61;116;177
3445;28/05/2011;2;0;5;10;0;6;0;1;0.7;0.6515;0.65;0.2239;110;166;276
3446;28/05/2011;2;0;5;11;0;6;0;1;0.7;0.6515;0.65;0.2239;171;178;349
3447;28/05/2011;2;0;5;12;0;6;0;1;0.72;0.6667;0.58;0.2537;145;213;358
3448;28/05/2011;2;0;5;13;0;6;0;1;0.72;0.6818;0.62;0.2239;168;217;385
3449;28/05/2011;2;0;5;14;0;6;0;1;0.74;0.6818;0.58;0.2239;172;210;382
3450;28/05/2011;2;0;5;15;0;6;0;1;0.74;0.6818;0.55;0.2239;187;187;374
3451;28/05/2011;2;0;5;16;0;6;0;1;0.76;0.697;0.55;0.2836;201;201;402
3452;28/05/2011;2;0;5;17;0;6;0;1;0.74;0.6818;0.55;0.2985;180;161;341
3453;28/05/2011;2;0;5;18;0;6;0;1;0.72;0.6818;0.62;0.2537;173;212;385
3454;28/05/2011;2;0;5;19;0;6;0;1;0.7;0.6515;0.65;0.194;99;153;252
3455;28/05/2011;2;0;5;20;0;6;0;1;0.7;0.6515;0.65;0.2239;68;128;196
3456;28/05/2011;2;0;5;21;0;6;0;1;0.66;0.6212;0.74;0.2985;87;114;201
3457;28/05/2011;2;0;5;22;0;6;0;1;0.66;0.6061;0.78;0.2239;46;115;161
3458;28/05/2011;2;0;5;23;0;6;0;1;0.64;0.5758;0.83;0.194;44;81;125
3459;29/05/2011;2;0;5;0;0;0;0;1;0.64;0.5758;0.83;0.2239;32;51;83
3460;29/05/2011;2;0;5;1;0;0;0;1;0.62;0.5606;0.88;0.1642;17;49;66
3461;29/05/2011;2;0;5;2;0;0;0;1;0.62;0.5606;0.88;0.1045;12;49;61
3462;29/05/2011;2;0;5;3;0;0;0;1;0.62;0.5606;0.88;0.1045;2;24;26
3463;29/05/2011;2;0;5;4;0;0;0;1;0.6;0.5455;0.88;0.0896;13;10;23
3464;29/05/2011;2;0;5;5;0;0;0;1;0.6;0.5152;0.94;0.1642;3;3;6
3465;29/05/2011;2;0;5;6;0;0;0;2;0.62;0.5606;0.88;0.194;5;10;15
3466;29/05/2011;2;0;5;7;0;0;0;2;0.62;0.5606;0.88;0.2537;13;17;30
3467;29/05/2011;2;0;5;8;0;0;0;2;0.62;0.5606;0.88;0.2239;34;62;96
3468;29/05/2011;2;0;5;9;0;0;0;2;0.62;0.5455;0.94;0.2537;74;78;152
3469;29/05/2011;2;0;5;10;0;0;0;2;0.66;0.6061;0.83;0.2239;130;121;251
3470;29/05/2011;2;0;5;11;0;0;0;2;0.66;0.6061;0.83;0.2836;139;180;319
3471;29/05/2011;2;0;5;12;0;0;0;2;0.7;0.6667;0.74;0.2239;216;186;402
3472;29/05/2011;2;0;5;13;0;0;0;1;0.72;0.6818;0.7;0.2836;237;181;418
3473;29/05/2011;2;0;5;14;0;0;0;1;0.74;0.697;0.7;0.2836;183;168;351
3474;29/05/2011;2;0;5;15;0;0;0;1;0.74;0.697;0.7;0.2985;221;155;376
3475;29/05/2011;2;0;5;16;0;0;0;1;0.74;0.697;0.7;0.2836;194;167;361
3476;29/05/2011;2;0;5;17;0;0;0;1;0.74;0.697;0.7;0.2836;214;169;383
3477;29/05/2011;2;0;5;18;0;0;0;1;0.72;0.697;0.74;0.2836;151;177;328
3478;29/05/2011;2;0;5;19;0;0;0;1;0.72;0.697;0.74;0.2537;141;146;287
3479;29/05/2011;2;0;5;20;0;0;0;1;0.7;0.6667;0.79;0.194;91;128;219
3480;29/05/2011;2;0;5;21;0;0;0;1;0.68;0.6364;0.83;0.1642;107;122;229
3481;29/05/2011;2;0;5;22;0;0;0;1;0.66;0.5909;0.89;0.1343;78;93;171
3482;29/05/2011;2;0;5;23;0;0;0;1;0.66;0.5909;0.89;0.1642;48;87;135
3483;30/05/2011;2;0;5;0;1;1;0;1;0.64;0.5606;0.94;0.194;38;65;103
3484;30/05/2011;2;0;5;1;1;1;0;1;0.64;0.5606;0.94;0.1343;26;53;79
3485;30/05/2011;2;0;5;2;1;1;0;1;0.64;0.5606;0.94;0.194;17;28;45
3486;30/05/2011;2;0;5;3;1;1;0;1;0.64;0.5606;0.94;0.194;10;8;18
3487;30/05/2011;2;0;5;4;1;1;0;1;0.62;0.5455;0.94;0.1642;2;4;6
3488;30/05/2011;2;0;5;5;1;1;0;2;0.62;0.5455;0.94;0.1045;1;6;7
3489;30/05/2011;2;0;5;6;1;1;0;2;0.64;0.5606;0.94;0.0896;6;10;16
3490;30/05/2011;2;0;5;7;1;1;0;2;0.64;0.5606;0.94;0;12;19;31
3491;30/05/2011;2;0;5;8;1;1;0;2;0.66;0.5909;0.89;0.1045;36;58;94
3492;30/05/2011;2;0;5;9;1;1;0;1;0.72;0.697;0.74;0.0896;47;81;128
3493;30/05/2011;2;0;5;10;1;1;0;1;0.8;0.7576;0.55;0.2537;116;153;269
3494;30/05/2011;2;0;5;11;1;1;0;1;0.82;0.7727;0.52;0;153;168;321
3495;30/05/2011;2;0;5;12;1;1;0;1;0.86;0.803;0.47;0.1045;179;187;366
3496;30/05/2011;2;0;5;13;1;1;0;1;0.86;0.7879;0.44;0.0896;133;217;350
3497;30/05/2011;2;0;5;14;1;1;0;1;0.88;0.803;0.39;0;142;185;327
3498;30/05/2011;2;0;5;15;1;1;0;1;0.88;0.803;0.39;0.2537;132;179;311
3499;30/05/2011;2;0;5;16;1;1;0;1;0.88;0.7879;0.37;0.2836;101;208;309
3500;30/05/2011;2;0;5;17;1;1;0;1;0.86;0.7879;0.41;0.2239;102;202;304
3501;30/05/2011;2;0;5;18;1;1;0;1;0.86;0.7879;0.41;0.1642;77;172;249
3502;30/05/2011;2;0;5;19;1;1;0;2;0.52;0.5;0.48;0.1045;68;157;225
3503;30/05/2011;2;0;5;20;1;1;0;1;0.76;0.7121;0.58;0;69;168;237
3504;30/05/2011;2;0;5;21;1;1;0;1;0.74;0.697;0.7;0.1343;42;107;149
3505;30/05/2011;2;0;5;22;1;1;0;1;0.72;0.697;0.74;0.1642;26;80;106
3506;30/05/2011;2;0;5;23;1;1;0;1;0.7;0.6667;0.84;0.1045;14;34;48
3507;31/05/2011;2;0;5;0;0;2;1;1;0.7;0.6667;0.79;0.0896;9;20;29
3508;31/05/2011;2;0;5;1;0;2;1;1;0.68;0.6364;0.89;0.0896;8;9;17
3509;31/05/2011;2;0;5;2;0;2;1;2;0.66;0.5909;0.94;0.1343;5;7;12
3510;31/05/2011;2;0;5;3;0;2;1;2;0.64;0.5606;0.94;0;1;3;4
3511;31/05/2011;2;0;5;4;0;2;1;1;0.66;0.6061;0.83;0.0896;0;3;3
3512;31/05/2011;2;0;5;5;0;2;1;1;0.66;0.6061;0.83;0.0896;0;26;26
3513;31/05/2011;2;0;5;6;0;2;1;1;0.68;0.6364;0.79;0.0896;11;98;109
3514;31/05/2011;2;0;5;7;0;2;1;1;0.74;0.697;0.66;0.1045;16;219;235
3515;31/05/2011;2;0;5;8;0;2;1;1;0.78;0.7424;0.59;0.1343;34;372;406
3516;31/05/2011;2;0;5;9;0;2;1;1;0.8;0.7576;0.55;0.1343;22;153;175
3517;31/05/2011;2;0;5;10;0;2;1;1;0.82;0.7879;0.56;0.1343;37;72;109
3518;31/05/2011;2;0;5;11;0;2;1;1;0.86;0.803;0.47;0;28;78;106
3519;31/05/2011;2;0;5;12;0;2;1;1;0.86;0.803;0.47;0.1343;37;125;162
3520;31/05/2011;2;0;5;13;0;2;1;1;0.9;0.8333;0.39;0.1642;37;110;147
3521;31/05/2011;2;0;5;14;0;2;1;1;0.9;0.8182;0.37;0;41;99;140
3522;31/05/2011;2;0;5;15;0;2;1;1;0.9;0.8182;0.37;0.1642;42;133;175
3523;31/05/2011;2;0;5;16;0;2;1;1;0.9;0.8333;0.39;0.1343;44;205;249
3524;31/05/2011;2;0;5;17;0;2;1;1;0.84;0.803;0.53;0.2239;67;428;495
3525;31/05/2011;2;0;5;18;0;2;1;1;0.84;0.803;0.53;0.194;55;362;417
3526;31/05/2011;2;0;5;19;0;2;1;1;0.78;0.7424;0.62;0.1045;39;246;285
3527;31/05/2011;2;0;5;20;0;2;1;1;0.78;0.7424;0.62;0.1045;38;213;251
3528;31/05/2011;2;0;5;21;0;2;1;1;0.76;0.7273;0.66;0.1045;45;165;210
3529;31/05/2011;2;0;5;22;0;2;1;1;0.74;0.697;0.7;0.1642;42;117;159
3530;31/05/2011;2;0;5;23;0;2;1;1;0.72;0.697;0.79;0.0896;15;46;61
3531;1/06/2011;2;0;6;0;0;3;1;1;0.7;0.6667;0.79;0.1642;9;25;34
3532;1/06/2011;2;0;6;1;0;3;1;1;0.7;0.6667;0.84;0.2537;8;9;17
3533;1/06/2011;2;0;6;2;0;3;1;1;0.7;0.6667;0.79;0.1642;0;3;3
3534;1/06/2011;2;0;6;3;0;3;1;1;0.68;0.6364;0.89;0.194;0;6;6
3535;1/06/2011;2;0;6;4;0;3;1;2;0.68;0.6364;0.89;0.2239;0;4;4
3536;1/06/2011;2;0;6;5;0;3;1;2;0.66;0.5909;0.89;0.0896;2;19;21
3537;1/06/2011;2;0;6;6;0;3;1;2;0.68;0.6364;0.89;0.0896;7;121;128
3538;1/06/2011;2;0;6;7;0;3;1;2;0.7;0.6667;0.79;0.1642;19;265;284
3539;1/06/2011;2;0;6;8;0;3;1;2;0.72;0.697;0.79;0.194;37;417;454
3540;1/06/2011;2;0;6;9;0;3;1;2;0.74;0.7121;0.74;0.2239;34;173;207
3541;1/06/2011;2;0;6;10;0;3;1;2;0.76;0.7424;0.75;0.2537;31;84;115
